week,staff_id,staff_name,role,service,present
16,STF-2dfd271e,Whitney Peters,nurse,general_medicine,0
48,STF-836e90d0,Victor Baker,nurse,ICU,0
38,STF-26466758,Jessica Callahan,nurse,general_medicine,1
45,STF-651ff617,Gerald Hensley,doctor,ICU,0
22,STF-398a99e9,James Ferrell,doctor,surgery,1
11,STF-25d79742,Debra Davidson,nursing_assistant,emergency,1
13,STF-7dfe6d32,Ryan Munoz,doctor,surgery,1
39,STF-ea97e797,Rebecca Valencia,nurse,ICU,0
26,STF-11c84169,Mark Perez,nurse,emergency,1
11,STF-55594f66,Donald Wright,nurse,emergency,1
6,STF-806b98e6,Margaret Hawkins DDS,nurse,emergency,0
39,STF-651ff617,Jessica Callahan,nurse,surgery,1
48,STF-8a4df0f8,Margaret Hawkins DDS,nurse,emergency,1
29,STF-59afa180,Tracy House,nurse,general_medicine,1
34,STF-4f1df27e,Steve Sanchez,nurse,surgery,0
35,STF-d962d308,Julia Torres,nurse,ICU,1
11,STF-9da1bed5,April Frost,nurse,ICU,0
22,STF-68c8a79d,Shane Henderson,doctor,surgery,1
9,STF-2b4ea9d4,Richard Henson,nurse,ICU,1
25,STF-55594f66,Connor West,nurse,general_medicine,1
31,STF-052894a3,Richard Rodriguez,nursing_assistant,surgery,1
50,STF-1bc3ecc7,Joshua Blair,nurse,emergency,1
4,STF-67d3ac43,Christine Wright,nurse,ICU,1
35,STF-4b388ef9,Eric Carney,nurse,surgery,1
26,STF-e9bd9766,Shannon Walker,nurse,general_medicine,0
50,STF-550b832f,Zachary Hicks,nurse,emergency,0
27,STF-a4c9b3f0,Jeffrey Chavez,nurse,surgery,0
27,STF-e2bbe735,Carol Tucker,nursing_assistant,surgery,0
24,STF-7dfe6d32,Cristian Santos,nurse,emergency,1
9,STF-26466758,William Baker,nurse,general_medicine,1
33,STF-e8857831,Michael Lewis,nursing_assistant,emergency,1
41,STF-8a885bae,Mike Allen,nurse,surgery,1
49,STF-0f188974,Amy Silva,doctor,ICU,0
38,STF-a373df11,Lisa Hensley,nursing_assistant,emergency,0
14,STF-b77cdc60,Allison Hill,nurse,emergency,0
49,STF-95cd7529,Tommy Walter,nurse,emergency,1
52,STF-61a51c45,Mike Allen,nurse,ICU,0
43,STF-8a885bae,Tracy House,nurse,surgery,1
29,STF-26466758,Angela Lopez,nurse,emergency,0
1,STF-669a95d5,Helen Jones,nursing_assistant,ICU,0
30,STF-84efb3e5,Matthew Mcmillan,nurse,ICU,0
26,STF-fc210a9e,Paula Moreno,nurse,general_medicine,1
50,STF-e9bd9766,Marc Moore,nurse,ICU,1
50,STF-f37035ac,Dylan Miller,nurse,emergency,1
50,STF-3a9a90fd,Carla Gray,nursing_assistant,emergency,1
20,STF-550b832f,Stephanie Ross,nurse,emergency,0
3,STF-669a95d5,Helen Jones,nurse,ICU,1
3,STF-b00ed3e2,Kenneth Scott,nursing_assistant,ICU,0
11,STF-26466758,Carol Tucker,doctor,general_medicine,0
37,STF-15db5d87,Evelyn Galvan,nursing_assistant,ICU,1
51,STF-8c3d09d0,Steve Sanchez,nurse,ICU,0
36,STF-8325689b,Brian Ramirez,nurse,emergency,0
47,STF-bea9d5c9,Connie Lawrence,nurse,surgery,0
7,STF-a1420039,Jessica Callahan,nurse,general_medicine,1
8,STF-6c29c37d,Victoria Garcia,nurse,general_medicine,1
6,STF-f5164783,Michael Evans,doctor,ICU,0
30,STF-a2ef0542,Aaron Wise,nurse,general_medicine,0
2,STF-e8857831,Donald Wright,nurse,surgery,1
40,STF-cf0f00c3,Sandra Aguilar,nurse,general_medicine,1
48,STF-398a99e9,Cassandra Gaines,doctor,emergency,0
40,STF-836e90d0,Crystal Johnson,nursing_assistant,ICU,1
34,STF-398a99e9,Judy Baker,doctor,general_medicine,0
12,STF-ddd99f9e,Victor Baker,nursing_assistant,ICU,1
17,STF-97ee23c3,Julia Torres,nurse,ICU,0
12,STF-197d1927,Daniel Baker,nursing_assistant,emergency,1
43,STF-8a4df0f8,Margaret Hawkins DDS,nursing_assistant,emergency,0
52,STF-8d812ffa,Daniel Baker,nurse,ICU,1
12,STF-68c8a79d,Fred Smith,doctor,emergency,0
32,STF-97ee23c3,Shannon Walker,nurse,ICU,0
39,STF-188cd855,Marc Moore,nursing_assistant,ICU,1
20,STF-8b6412dc,William Baker,nurse,surgery,1
51,STF-ebbeb197,Ryan Munoz,nurse,emergency,1
42,STF-b00ed3e2,Jeffrey Chandler,nursing_assistant,ICU,0
14,STF-a373df11,Lisa Hensley,nurse,emergency,1
31,STF-03fbeddc,Sherry Decker,nurse,surgery,1
33,STF-ddd99f9e,Ashley Waller,nurse,ICU,1
13,STF-8b6412dc,Amber Kidd,nurse,surgery,0
18,STF-4f1df27e,Donald Wright,doctor,emergency,0
6,STF-36140a6a,Margaret Hawkins DDS,doctor,surgery,1
12,STF-197d1927,Aimee Montoya,nursing_assistant,surgery,0
31,STF-f398593d,Sherri Baker,nursing_assistant,emergency,1
51,STF-d114bde8,Gina Moore,doctor,emergency,1
18,STF-8c3d09d0,Lisa Barnes,nurse,emergency,1
16,STF-611ad324,John Daniel,nursing_assistant,general_medicine,1
48,STF-551ccae1,Amy Silva,nursing_assistant,surgery,1
35,STF-403052c0,Cristian Santos,nurse,emergency,1
5,STF-1511492d,Sharon Cherry,nurse,ICU,1
39,STF-b00ed3e2,Larry Dixon,nurse,ICU,0
29,STF-8325689b,Derek Zuniga,doctor,emergency,0
10,STF-4740993e,Jeffrey Chandler,nursing_assistant,ICU,1
33,STF-1511492d,Sharon Cherry,doctor,ICU,1
5,STF-8a4df0f8,Justin Baker,nursing_assistant,emergency,1
4,STF-8c3d09d0,Mike Allen,nursing_assistant,surgery,1
8,STF-e573be71,Shannon Walker,nursing_assistant,ICU,1
39,STF-da4920fd,Judy Baker,nurse,emergency,1
29,STF-2122e2a0,John Whitehead,nurse,ICU,1
52,STF-05591498,Ashley Waller,doctor,ICU,0
26,STF-7dfe6d32,Gabrielle Davis,nurse,emergency,0
21,STF-d114bde8,Cristian Santos,nurse,emergency,0
3,STF-398a99e9,Jeffrey Chavez,nurse,emergency,0
35,STF-15db5d87,Marc Moore,nurse,ICU,0
40,STF-2c8eaa98,Lisa Jackson,nursing_assistant,emergency,0
38,STF-2dcdd6fb,Paula Moreno,doctor,general_medicine,1
52,STF-4b388ef9,Shane Henderson,nurse,emergency,0
40,STF-8a885bae,Amy Silva,nursing_assistant,emergency,1
10,STF-dfe95bc8,Crystal Robinson,nurse,ICU,1
48,STF-9045bfe7,Christina Walters,nurse,ICU,0
46,STF-e8857831,Gerald Hensley,nurse,ICU,0
31,STF-61961d5b,Richard Henson,nurse,ICU,0
14,STF-2e0dd6e9,Daniel Wagner,nurse,emergency,1
36,STF-611ad324,Shane Henderson,nurse,emergency,1
52,STF-e8857831,Gerald Hensley,nurse,ICU,0
37,STF-ac9813b7,Lisa Hensley,nursing_assistant,emergency,0
18,STF-63bcaa58,Daniel Baker,nurse,surgery,1
22,STF-98fd6aad,Denise Jacobs,nurse,general_medicine,0
19,STF-5401ad3a,Deborah Figueroa,doctor,ICU,0
31,STF-ada6b167,James Ferrell,nurse,emergency,1
17,STF-25d79742,Sherri Baker,nursing_assistant,emergency,1
50,STF-8c3d09d0,Lisa Barnes,nurse,ICU,1
33,STF-052894a3,Sierra Johnson,nurse,ICU,1
33,STF-9da1bed5,April Frost,nursing_assistant,ICU,1
12,STF-ddd99f9e,Jeffrey Chandler,nurse,ICU,1
21,STF-59afa180,Victoria Garcia,nurse,general_medicine,1
19,STF-6c29c37d,Brent Jordan,nurse,surgery,1
40,STF-c8ef6bb9,Tricia Valencia,nurse,emergency,0
51,STF-398a99e9,Zachary Hicks,doctor,surgery,0
9,STF-611ad324,Shannon Jones,nurse,general_medicine,1
25,STF-e2bbe735,Donald Wright,nurse,surgery,1
2,STF-bfc199cf,Michael Lewis,nursing_assistant,emergency,0
28,STF-322e1cde,Lauren Daniels,nurse,emergency,1
27,STF-b0bc8d3f,Brian Ramirez,nurse,emergency,0
6,STF-611ad324,Timothy Duncan,nurse,emergency,0
23,STF-d114bde8,Gina Moore,nurse,emergency,1
29,STF-6a7114cb,April Frost,nurse,ICU,1
32,STF-dc6ad834,Megan Young,nurse,surgery,1
21,STF-95cd7529,Justin Baker,nurse,surgery,0
49,STF-8d812ffa,Denise Jacobs,nurse,ICU,0
30,STF-ddd99f9e,Jeffrey Chandler,nursing_assistant,ICU,0
42,STF-651ff617,Mark Perez,doctor,ICU,1
36,STF-f37035ac,Lisa Hensley,nurse,emergency,0
47,STF-84efb3e5,Denise Jacobs,nursing_assistant,surgery,0
11,STF-f37c5b51,Shannon Jones,doctor,emergency,1
47,STF-da4920fd,Margaret Hawkins DDS,nurse,emergency,0
3,STF-a493e575,Christopher Bass,nursing_assistant,emergency,1
17,STF-038ff4c9,Zachary Ferrell,nurse,surgery,1
48,STF-b0bc8d3f,Holly Wood,nurse,general_medicine,1
7,STF-e0c7759c,James Brown,nursing_assistant,general_medicine,1
17,STF-1511492d,Sharon Cochran,nursing_assistant,ICU,1
31,STF-55594f66,Richard Aguirre,nurse,surgery,0
44,STF-f37c5b51,John Pierce,doctor,general_medicine,1
51,STF-d3c13ca9,Ryan Munoz,nurse,emergency,0
10,STF-59afa180,Tracy House,nursing_assistant,surgery,1
43,STF-fc210a9e,Shane Henderson,doctor,general_medicine,1
49,STF-5401ad3a,Aaron Wise,nurse,general_medicine,1
34,STF-9045bfe7,John Whitehead,nursing_assistant,surgery,0
46,STF-322e1cde,Donald Wright,doctor,general_medicine,1
22,STF-98fd6aad,Matthew Mcmillan,nurse,general_medicine,0
29,STF-d1d59a8b,Anthony Rodriguez,nurse,emergency,0
35,STF-8a42f5e7,Lisa Barnes,nurse,emergency,1
49,STF-a1420039,John Daniel,nurse,surgery,1
24,STF-372284b1,Anthony Humphrey,nursing_assistant,surgery,0
49,STF-68c8a79d,Jessica Holmes,nurse,surgery,1
30,STF-26466758,Jordan Henderson,nursing_assistant,surgery,0
1,STF-2c8eaa98,Ethan Adams,doctor,emergency,0
30,STF-1511492d,Richard Henson,nurse,general_medicine,0
9,STF-302eb752,Erin Edwards,doctor,ICU,1
7,STF-d962d308,Evelyn Galvan,nursing_assistant,general_medicine,0
12,STF-836e90d0,William Herrera,nursing_assistant,ICU,1
37,STF-11c84169,Crystal Robinson,nursing_assistant,emergency,1
48,STF-b77cdc60,Allison Hill,nursing_assistant,emergency,1
41,STF-ac9813b7,Monica Herrera,nurse,emergency,0
30,STF-9045bfe7,Christina Walters,nursing_assistant,general_medicine,1
22,STF-c8ef6bb9,Jeffrey Chavez,nurse,surgery,0
23,STF-188cd855,Sierra Johnson,nursing_assistant,general_medicine,1
48,STF-b00ed3e2,Jeffrey Chandler,nurse,ICU,0
50,STF-95cd7529,Matthew Foster,nursing_assistant,emergency,0
21,STF-8a4df0f8,Judy Baker,nurse,emergency,0
30,STF-4e69ee46,Ryan Munoz,doctor,surgery,1
29,STF-e2bbe735,Connor West,nurse,surgery,1
49,STF-59afa180,Gerald Hensley,nurse,surgery,0
33,STF-4f1df27e,Brittney Phillips,nurse,surgery,0
27,STF-5157d809,Jordan Henderson,nursing_assistant,general_medicine,1
15,STF-a373df11,Jamie Arnold,doctor,emergency,1
43,STF-40a56cae,Zachary Ferrell,nurse,ICU,1
19,STF-651ff617,Donald Wright,nurse,emergency,1
41,STF-5697a657,Christina Walters,nurse,ICU,0
27,STF-abfdc900,Diana May,nurse,ICU,1
32,STF-1c410c36,Angelica Tucker,nurse,surgery,0
25,STF-052894a3,Sierra Johnson,nurse,general_medicine,1
14,STF-dc6ad834,Steve Sanchez,nursing_assistant,emergency,1
43,STF-4740993e,Victor Baker,nurse,ICU,1
7,STF-b77cdc60,Allison Hill,doctor,emergency,1
40,STF-9da1bed5,Helen Jones,nursing_assistant,ICU,0
27,STF-f37035ac,Jamie Arnold,nurse,emergency,0
10,STF-abfdc900,Garrett Lin,nursing_assistant,ICU,1
32,STF-302eb752,Erin Edwards,nursing_assistant,ICU,1
36,STF-4f1df27e,Brittney Phillips,doctor,ICU,1
4,STF-8b6412dc,Brittney Phillips,nursing_assistant,surgery,0
18,STF-95cd7529,Margaret Hawkins DDS,doctor,surgery,0
32,STF-2a9c9bdb,John Pierce,nurse,emergency,1
50,STF-2dfd271e,Whitney Peters,nurse,surgery,1
14,STF-322e1cde,Jordan Henderson,nursing_assistant,general_medicine,0
34,STF-d3c13ca9,Gabrielle Davis,doctor,emergency,1
45,STF-b77cdc60,Allison Hill,doctor,emergency,1
28,STF-197d1927,Lisa Archer,nurse,ICU,0
30,STF-5401ad3a,Sandra Aguilar,doctor,ICU,1
14,STF-052894a3,Richard Rodriguez,nursing_assistant,general_medicine,1
3,STF-bfc199cf,Timothy Duncan,nurse,surgery,1
35,STF-abfdc900,Diana May,nursing_assistant,ICU,1
25,STF-b00ed3e2,Jeffrey Chandler,nursing_assistant,ICU,0
44,STF-03fbeddc,Tricia Valencia,nurse,surgery,1
1,STF-2a9c9bdb,John Daniel,doctor,ICU,1
37,STF-ea97e797,Richard Henson,nurse,general_medicine,1
10,STF-302eb752,Erin Edwards,nurse,ICU,1
32,STF-cf9225db,Diana May,nurse,ICU,0
21,STF-ddd99f9e,Larry Dixon,nursing_assistant,ICU,1
15,STF-6a7114cb,Kenneth Scott,nursing_assistant,ICU,1
25,STF-25d79742,Nathan Maldonado,nurse,emergency,1
37,STF-4b388ef9,Philip Cannon,nursing_assistant,emergency,1
31,STF-836e90d0,William Herrera,nurse,ICU,1
9,STF-61961d5b,Sierra Johnson,nurse,ICU,0
13,STF-23a8d4c5,Tommy Walter,nurse,surgery,1
24,STF-b00ed3e2,Jeffrey Chandler,nurse,ICU,0
16,STF-727e4277,Victoria Garcia,nursing_assistant,emergency,0
22,STF-36140a6a,Justin Baker,nurse,emergency,1
33,STF-59afa180,Tracy House,nursing_assistant,emergency,1
26,STF-d962d308,Julia Torres,nurse,general_medicine,1
47,STF-4740993e,William Herrera,doctor,ICU,1
21,STF-935c51f3,John Whitehead,nurse,surgery,0
22,STF-03fbeddc,James Ferrell,nurse,emergency,0
13,STF-188cd855,Shannon Walker,nurse,ICU,1
48,STF-ed194945,Victoria Garcia,nurse,general_medicine,1
43,STF-63b9ca1d,Michael Lewis,nursing_assistant,emergency,1
2,STF-bfc199cf,Jessica Holmes,nursing_assistant,surgery,0
15,STF-f37c5b51,Shannon Jones,doctor,emergency,0
36,STF-2c8eaa98,Patty Perez,nurse,emergency,1
36,STF-44cbfc17,Paul Jones,nurse,ICU,1
11,STF-a493e575,Zachary Ferrell,doctor,general_medicine,0
47,STF-abfdc900,Sharon Cochran,nurse,ICU,0
24,STF-2e0dd6e9,Angie Henderson,nurse,emergency,0
4,STF-c8ef6bb9,Tricia Valencia,nurse,surgery,0
34,STF-ea97e797,Christine Wright,nurse,ICU,0
37,STF-a2ef0542,Stephen Mckee,nursing_assistant,surgery,0
24,STF-1bc3ecc7,John Pierce,nurse,surgery,1
11,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
40,STF-935c51f3,Aimee Montoya,nursing_assistant,ICU,1
27,STF-5401ad3a,Stephen Mckee,nursing_assistant,surgery,0
36,STF-05591498,Diana May,nurse,ICU,1
23,STF-3a9a90fd,Matthew Foster,nurse,emergency,0
39,STF-63b9ca1d,Connor West,nurse,surgery,1
33,STF-e983db1d,Kenneth Scott,nurse,ICU,0
30,STF-8c3d09d0,Lisa Barnes,nurse,general_medicine,1
44,STF-ddd99f9e,William Herrera,nursing_assistant,ICU,0
44,STF-052894a3,Julia Torres,nurse,ICU,1
7,STF-c696ae9c,Cristian Santos,nursing_assistant,emergency,0
24,STF-dc6ad834,Amy Silva,nurse,surgery,1
14,STF-8a885bae,Lauren Daniels,nursing_assistant,surgery,0
12,STF-e15cfd51,Michele Williams,nurse,emergency,1
41,STF-052894a3,Richard Rodriguez,nursing_assistant,surgery,1
29,STF-5157d809,Donald Wright,nurse,general_medicine,1
37,STF-8a885bae,Steve Sanchez,nurse,general_medicine,0
11,STF-302eb752,Erin Edwards,nurse,ICU,0
19,STF-1bc3ecc7,Timothy Duncan,nurse,surgery,0
32,STF-b77cdc60,Allison Hill,nurse,emergency,1
31,STF-f398593d,Tricia Valencia,nurse,surgery,1
40,STF-5157d809,William Baker,nurse,general_medicine,0
23,STF-ed194945,Jessica Callahan,nurse,surgery,1
52,STF-e573be71,Richard Rodriguez,nursing_assistant,general_medicine,1
18,STF-8d812ffa,Anna Henderson,nurse,general_medicine,0
12,STF-052894a3,Richard Rodriguez,nursing_assistant,general_medicine,1
43,STF-e573be71,Shannon Walker,nurse,ICU,0
41,STF-8a4df0f8,Zachary Hicks,nurse,surgery,0
41,STF-398a99e9,Zachary Hicks,nursing_assistant,emergency,1
20,STF-59afa180,Amber Kidd,nurse,emergency,0
41,STF-b4907958,James Ferrell,nurse,emergency,1
47,STF-cf0f00c3,Matthew Mcmillan,doctor,ICU,1
35,STF-da4920fd,Stephanie Ross,doctor,surgery,0
10,STF-8b6412dc,John Daniel,nurse,general_medicine,1
26,STF-bfc199cf,Richard Aguirre,nurse,surgery,0
47,STF-2dcdd6fb,Cassandra Gaines,nurse,surgery,1
48,STF-806b98e6,Michele Williams,nurse,emergency,0
37,STF-ada6b167,Cassandra Gaines,nurse,surgery,1
37,STF-0f188974,Angela Lopez,doctor,ICU,1
14,STF-9b87fb95,Zachary Hicks,doctor,ICU,1
35,STF-f398593d,Nathan Maldonado,doctor,general_medicine,1
32,STF-6c29c37d,Brent Jordan,nursing_assistant,ICU,1
39,STF-322e1cde,Brittney Phillips,nurse,general_medicine,1
49,STF-322e1cde,Sarah Moore,nurse,general_medicine,1
4,STF-e0c7759c,Lauren Daniels,nurse,general_medicine,0
50,STF-550b832f,Matthew Foster,nurse,emergency,1
28,STF-61961d5b,Christine Wright,nursing_assistant,ICU,0
5,STF-5157d809,Connor West,nursing_assistant,surgery,1
39,STF-611ad324,Shannon Jones,nurse,ICU,1
47,STF-9da1bed5,Helen Jones,nurse,ICU,1
37,STF-25d79742,Elizabeth Fowler,nurse,emergency,0
35,STF-103c818c,Rebecca Henderson,nurse,surgery,1
45,STF-c8ef6bb9,Jeffrey Chavez,doctor,emergency,0
27,STF-ebbeb197,Gabrielle Davis,doctor,emergency,1
28,STF-25d79742,Brittany Farmer,nurse,general_medicine,0
41,STF-2dcdd6fb,John Pierce,nurse,ICU,0
47,STF-052894a3,Crystal Johnson,nurse,ICU,1
27,STF-5e560b99,Noah Rhodes,doctor,emergency,1
9,STF-ddd99f9e,Ashley Waller,nurse,ICU,0
39,STF-cf0f00c3,Jessica Smith,doctor,ICU,1
32,STF-5697a657,Deborah Figueroa,nurse,ICU,1
23,STF-c696ae9c,Cristian Santos,doctor,emergency,0
44,STF-997af03e,Deborah Figueroa,nurse,general_medicine,0
34,STF-806b98e6,Lisa Hensley,doctor,emergency,0
29,STF-f37c5b51,Crystal Robinson,nursing_assistant,emergency,1
34,STF-cf0f00c3,John Whitehead,doctor,general_medicine,1
12,STF-67d3ac43,Christine Wright,nurse,ICU,1
38,STF-8a885bae,Whitney Peters,nurse,surgery,1
1,STF-9da1bed5,April Frost,doctor,ICU,1
12,STF-ac9813b7,Michele Williams,doctor,general_medicine,0
40,STF-36140a6a,Margaret Hawkins DDS,nursing_assistant,emergency,0
10,STF-206b10dc,Sherry Decker,nurse,emergency,0
22,STF-98fd6aad,Aaron Wise,nurse,ICU,0
32,STF-d1d59a8b,Patty Perez,nursing_assistant,emergency,0
29,STF-26466758,Brittney Phillips,nurse,surgery,1
37,STF-c696ae9c,Connie Lawrence,nurse,emergency,0
17,STF-806b98e6,Carla Gray,nurse,emergency,0
30,STF-ada6b167,Sherri Baker,nurse,surgery,1
29,STF-611ad324,Jessica Holmes,nurse,surgery,1
41,STF-abfdc900,Diana May,nursing_assistant,ICU,1
34,STF-103c818c,Nathan Maldonado,nurse,general_medicine,0
48,STF-8a4df0f8,Stephanie Ross,nursing_assistant,emergency,0
5,STF-2c8eaa98,Ethan Adams,nurse,emergency,1
24,STF-a1420039,Jessica Callahan,nurse,general_medicine,1
18,STF-ea97e797,Stephen Mckee,nurse,ICU,0
22,STF-2122e2a0,Christina Walters,nurse,general_medicine,0
23,STF-b00ed3e2,Jeffrey Chandler,nursing_assistant,ICU,0
22,STF-40a56cae,Shirley Suarez,nursing_assistant,surgery,1
3,STF-4e69ee46,Jamie Arnold,doctor,emergency,1
11,STF-064febb6,Tommy Walter,nurse,general_medicine,1
45,STF-bea9d5c9,Connie Lawrence,nurse,emergency,0
30,STF-727e4277,Donald Wright,nurse,ICU,1
51,STF-44cbfc17,Angela Lopez,nurse,general_medicine,1
42,STF-8a885bae,Brittney Phillips,doctor,general_medicine,0
17,STF-a1420039,Jessica Callahan,nurse,general_medicine,1
44,STF-2dcdd6fb,Sherry Decker,nurse,surgery,1
2,STF-95cd7529,Tommy Walter,nursing_assistant,emergency,0
12,STF-26466758,Tracy House,nurse,emergency,1
49,STF-9da1bed5,April Frost,nursing_assistant,ICU,0
16,STF-abfdc900,Garrett Lin,nursing_assistant,ICU,0
5,STF-03fbeddc,Angelica Tucker,nurse,emergency,0
34,STF-23a8d4c5,Ethan Adams,nurse,emergency,1
34,STF-2dfd271e,William Baker,nurse,general_medicine,0
9,STF-8b6412dc,Brittney Phillips,nurse,surgery,0
5,STF-4e69ee46,Ryan Munoz,doctor,emergency,0
21,STF-63b9ca1d,Richard Aguirre,doctor,general_medicine,1
39,STF-5697a657,Lisa Archer,nursing_assistant,ICU,0
50,STF-ec102fe1,Carol Tucker,nursing_assistant,emergency,0
48,STF-a373df11,Lisa Hensley,doctor,emergency,1
50,STF-cf9225db,Diana May,nursing_assistant,ICU,0
45,STF-064febb6,Zachary Hicks,nurse,emergency,0
30,STF-d1d59a8b,Stephanie Ross,nursing_assistant,surgery,0
43,STF-26466758,William Baker,nurse,general_medicine,1
12,STF-2122e2a0,Jessica Smith,nurse,general_medicine,0
5,STF-ada6b167,Debra Davidson,nurse,emergency,1
29,STF-25d79742,Jeffrey Chavez,nurse,emergency,0
37,STF-b13eeb99,Judy Baker,nurse,emergency,1
15,STF-551ccae1,Steve Sanchez,nurse,general_medicine,0
32,STF-997af03e,Aaron Wise,nursing_assistant,general_medicine,1
32,STF-9fdbaf6f,Fred Smith,nurse,general_medicine,1
4,STF-e573be71,Diana May,nursing_assistant,ICU,1
35,STF-11c84169,Philip Cannon,nurse,ICU,0
45,STF-fc210a9e,Jessica Holmes,nurse,surgery,0
5,STF-23a8d4c5,Margaret Hawkins DDS,doctor,surgery,1
21,STF-55594f66,Connor West,nurse,emergency,1
23,STF-b00ed3e2,Jeffrey Chandler,nursing_assistant,ICU,0
12,STF-e0c7759c,Jordan Henderson,nurse,emergency,1
5,STF-e2bbe735,Connor West,nursing_assistant,general_medicine,1
52,STF-9045bfe7,John Whitehead,nursing_assistant,general_medicine,0
43,STF-59afa180,James Brown,nursing_assistant,surgery,0
23,STF-11c84169,Angelica Tucker,nurse,emergency,1
43,STF-e0c7759c,Amber Kidd,nurse,ICU,0
9,STF-9da1bed5,Michelle Harmon,nurse,ICU,1
34,STF-e9bd9766,Christine Wright,nurse,ICU,0
37,STF-4f1df27e,Lauren Daniels,nurse,general_medicine,0
24,STF-651ff617,Mark Perez,nurse,general_medicine,1
49,STF-61961d5b,Christine Wright,nursing_assistant,general_medicine,0
34,STF-551ccae1,Whitney Peters,nursing_assistant,surgery,1
31,STF-6c29c37d,Brent Jordan,nurse,emergency,1
21,STF-1c410c36,Angelica Tucker,nurse,surgery,1
2,STF-6c29c37d,Shannon Jones,nurse,general_medicine,0
39,STF-188cd855,Sharon Cochran,nurse,ICU,0
16,STF-a493e575,Christopher Bass,nursing_assistant,general_medicine,0
17,STF-68c8a79d,Paula Moreno,nurse,general_medicine,1
14,STF-8a4df0f8,Judy Baker,nursing_assistant,emergency,1
13,STF-ac9813b7,Jamie Arnold,doctor,emergency,0
40,STF-8325689b,Dylan Miller,nurse,emergency,1
18,STF-038ff4c9,Shirley Suarez,nursing_assistant,surgery,0
27,STF-935c51f3,Brian Rodriguez,nurse,ICU,0
52,STF-103c818c,Stephanie Ross,nurse,surgery,0
5,STF-25d79742,Fred Smith,nurse,surgery,1
49,STF-2e0dd6e9,Noah Rhodes,doctor,emergency,1
43,STF-05591498,Crystal Johnson,nurse,ICU,1
35,STF-03fbeddc,Debra Davidson,doctor,emergency,0
22,STF-e983db1d,Kenneth Scott,nursing_assistant,ICU,0
50,STF-f5164783,Christopher Bass,nurse,ICU,0
46,STF-fc210a9e,Philip Cannon,nurse,general_medicine,0
31,STF-ed194945,Amber Kidd,nurse,emergency,1
17,STF-97ee23c3,Julia Torres,nursing_assistant,general_medicine,1
35,STF-f5164783,Christopher Bass,nursing_assistant,surgery,1
12,STF-97ee23c3,Garrett Lin,nurse,ICU,0
26,STF-a373df11,Monica Herrera,nurse,emergency,1
35,STF-bfc199cf,Philip Cannon,nursing_assistant,emergency,1
26,STF-e0c7759c,Jessica Callahan,nurse,surgery,1
12,STF-61961d5b,Marc Moore,nurse,ICU,0
34,STF-ec102fe1,James Brown,nurse,general_medicine,0
49,STF-f5164783,Zachary Ferrell,nurse,surgery,0
29,STF-2b4ea9d4,Jessica Smith,nurse,ICU,0
